periodo,consumo_total_kwh,demanda_maxima_kw,factor_potencia,costo_total,dias_facturados,tarifa,kwh_punta
2021-01-31,29561,70,82.88,83382,31,GDMTH,4116
2021-02-28,27960,73,82.68,84520,28,GDMTH,3860
2021-03-31,33493,79,84.18,97037,31,GDMTH,4469
2021-04-30,33051,126,,95215,30,GDMTH,2271
2021-05-31,36575,149,87.39,99451,31,GDMTH,1858
2021-06-30,38639,176,87.35,105063,30,GDMTH,2022
2021-07-31,36969,150,87.69,100381,31,GDMTH,2057
2021-08-31,40672,245,89.45,110017,31,GDMTH,2029
2021-09-30,49000,284,90.96,136097,30,GDMTH,1996
2021-10-31,48804,272,,135002,31,GDMTH,2283
2021-11-30,45743,220,88.75,143294,30,GDMTH,5684
2021-12-31,46339,213,89.91,142688,31,GDMTH,6548

