periodo,consumo_total_kwh,demanda_maxima_kw,factor_potencia,costo_total,dias_facturados,tarifa,kwh_punta
2026-01-31,33787,80,83.54,104380,31,GDMTH,4715
2026-02-28,32000,83,83.34,107930,28,GDMTH,4412
2026-03-31,38346,89,84.84,125330,31,GDMTH,5117
2026-04-30,37843,145,,128440,30,GDMTH,2596
2026-05-31,41911,169,88.05,132470,31,GDMTH,2125
2026-06-30,44390,201,88.01,140300,30,GDMTH,2317
2026-07-31,42456,170,88.35,134240,31,GDMTH,2356
2026-08-31,46775,280,90.11,147020,31,GDMTH,2322
2026-09-30,56255,324,91.62,182300,30,GDMTH,2285
2026-10-31,56005,311,,181090,31,GDMTH,2615
2026-11-30,52446,250,89.41,192060,30,GDMTH,6545
2026-12-31,53072,243,89.67,191150,31,GDMTH,7530
