periodo,consumo_total_kwh,demanda_maxima_kw,factor_potencia,costo_total,dias_facturados,tarifa,kwh_punta
2025-01-31,34880,85,84.10,115750,31,GDMTH,4850
2025-02-28,33150,88,83.90,117300,28,GDMTH,4510
2025-03-31,39520,95,85.30,132100,31,GDMTH,5120
2025-04-30,38980,150,,129880,30,GDMTH,2650
2025-05-31,43100,175,88.10,135200,31,GDMTH,2150
2025-06-30,45570,208,88.50,143100,30,GDMTH,2380
2025-07-31,43650,180,89.10,136600,31,GDMTH,2410
2025-08-31,47990,290,90.20,150150,31,GDMTH,2390
2025-09-30,57820,335,91.50,185400,30,GDMTH,2350
2025-10-31,57500,320,,183300,31,GDMTH,2710
2025-11-30,54100,260,90.10,195100,30,GDMTH,6700
2025-12-31,54880,252,91.30,194500,31,GDMTH,7750
